DATE,agg_sent_finbert,dom_sent_finbert,agg_sent_news,dom_sent_news
2018-01-03 00:00:00,"[0.16182900965213776, 0.48372790217399597, 0.3544430732727051]",-1,"[0.38298577070236206, 0.11908736824989319, 0.49792689085006714]",0
2018-01-12 00:00:00,"[0.04024137556552887, 0.24231930077075958, 0.7174393534660339]",0,"[0.3264990746974945, 0.34004104137420654, 0.33345988392829895]",-1
2018-01-20 00:00:00,"[0.01712406985461712, 0.9505665302276611, 0.0323093980550766]",-1,"[0.9058343768119812, 0.008347037248313427, 0.08581859618425369]",1
2018-02-06 00:00:00,"[0.39571261405944824, 0.5130448937416077, 0.0912424772977829]",-1,"[0.0004945785040035844, 0.00015763845294713974, 0.9993477463722229]",0
2018-02-09 00:00:00,"[0.05022360756993294, 0.9046270251274109, 0.04514937847852707]",-1,"[0.6459617614746094, 0.0015727767022326589, 0.3524654805660248]",1
2018-03-03 00:00:00,"[0.04256531968712807, 0.4090985357761383, 0.5483362078666687]",0,"[0.0016770828515291214, 0.43289145827293396, 0.5654314756393433]",0
2018-04-10 00:00:00,"[0.14883680641651154, 0.21915705502033234, 0.6320061683654785]",0,"[0.33795252442359924, 0.36770662665367126, 0.2943408489227295]",-1
2018-04-11 00:00:00,"[0.05508249253034592, 0.4535704553127289, 0.4913470149040222]",0,"[0.28883981704711914, 0.3385460376739502, 0.37261414527893066]",0
2018-04-15 00:00:00,"[0.033087726682424545, 0.49098673462867737, 0.475925475358963]",-1,"[0.3339608907699585, 0.33210083842277527, 0.33393827080726624]",1
2018-05-21 00:00:00,"[0.10564620047807693, 0.23804156482219696, 0.6563122272491455]",0,"[0.0020921495743095875, 0.3223838806152344, 0.6755239963531494]",0
2018-05-23 00:00:00,"[0.28178516030311584, 0.5982019305229187, 0.12001291662454605]",-1,"[0.3329032361507416, 0.0005746576935052872, 0.6665220856666565]",0
2018-08-16 00:00:00,"[0.22298948466777802, 0.4683336913585663, 0.3086768090724945]",-1,"[0.46144813299179077, 0.0005866145947948098, 0.5379652380943298]",0
2018-09-17 00:00:00,"[0.056138552725315094, 0.4800085425376892, 0.4638529419898987]",-1,"[0.2901643216609955, 0.4429720342159271, 0.26686355471611023]",-1
2018-10-29 00:00:00,"[0.07077468931674957, 0.22822478413581848, 0.7010005116462708]",0,"[0.0003434099198784679, 0.9828538298606873, 0.016802793368697166]",-1
2018-11-07 00:00:00,"[0.4757836163043976, 0.4906761944293976, 0.03354014828801155]",-1,"[0.4982645511627197, 0.0002187357167713344, 0.5015167593955994]",0
2018-11-22 00:00:00,"[0.11806007474660873, 0.6393631100654602, 0.24257685244083405]",-1,"[0.4905517101287842, 0.0003750458708964288, 0.5090732574462891]",0
